district,date,cloudburst
Uttarkashi,2025-06-29,1
Uttarkashi,2025-08-05,1
Chamoli,2025-08-23,1
Chamoli,2025-08-29,1
Rudraprayag,2025-08-29,1
Tehri Garhwal,2025-08-29,1
Dehradun,2025-09-15,1
Chamoli,2025-09-18,1
Tehri Garhwal,2024-08-01,1
Rudraprayag,2024-08-02,1
Uttarkashi,2024-07-26,1
Uttarkashi,2021-07-18,1
Dehradun,2021-08-24,1
Dehradun,2021-08-25,1
Nainital,2021-10-18,1
Almora,2021-10-18,1
Uttarkashi,2022-08-19,1
Pithoragarh,2022-08-19,1
Pauri Garhwal,2022-08-20,1
Tehri Garhwal,2022-08-20,1
Rudraprayag,2022-08-20,1
Chamoli,2023-07-10,1
Uttarkashi,2023-08-10,1
Pithoragarh,2016-07-01,1
Chamoli,2016-07-01,1
Dehradun,2017-06-26,1
Haridwar,2017-06-29,1
Dehradun,2017-07-12,1
Udham Singh Nagar,2017-07-20,1
Dehradun,2017-08-03,1
Champawat,2018-07-02,1
Pithoragarh,2018-07-02,1
Dehradun,2018-07-11,1
Chamoli,2018-07-13,1
Almora,2010-09-17,1
Bageshwar,2010-09-17,1
Dehradun,2010-09-19,1
Uttarkashi,2010-09-19,1
Pithoragarh,2011-08-16,1
Pithoragarh,2011-08-17,1
Chamoli,2012-08-05,1
Rudraprayag,2012-08-13,1
Uttarkashi,2012-09-03,1
Tehri Garhwal,2013-06-17,1
Rudraprayag,2013-06-17,1
Chamoli,2013-06-17,1
Pithoragarh,2014-08-01,1
Pauri Garhwal,2014-08-01,1
Chamoli,2014-08-02,1
Dehradun,2000-07-31,1
Tehri Garhwal,2001-08-31,1
Pithoragarh,2002-09-10,1
Uttarkashi,2003-09-24,1
Pithoragarh,2004-08-09,1
Chamoli,2004-08-16,1
Rudraprayag,2005-08-03,1
Pauri Garhwal,2005-08-03,1
Chamoli,2005-08-05,1
Uttarkashi,2006-07-09,1
Pithoragarh,2007-07-15,1
Uttarkashi,2010-09-19,1
Almora,2010-09-17,1
Bageshwar,2010-09-17,1
